lan,lac,year,s,ss,emissions
Barnsley,E08000016,2005,Commercial,Commercial Electricity,110.2660658
Barnsley,E08000016,2005,Commercial,Commercial Gas,43.67327352
Barnsley,E08000016,2005,Commercial,Commercial 'Other Fuels',0.764815972
Barnsley,E08000016,2005,Domestic,Domestic Electricity,199.7736318
Barnsley,E08000016,2005,Domestic,Domestic Gas,338.3792721
Barnsley,E08000016,2005,Domestic,Domestic 'Other Fuels',93.20921963
Barnsley,E08000016,2005,Industry,Industry Electricity,193.0768208
Barnsley,E08000016,2005,Industry,Industry Gas,172.1120383
Barnsley,E08000016,2005,Industry,Large Industrial Installations,78.07416926
Barnsley,E08000016,2005,Industry,Industry 'Other Fuels',89.10108929
Barnsley,E08000016,2005,Industry,Agriculture,7.359359423
Barnsley,E08000016,2005,LULUCF,LULUCF Net Emissions: Forest land,-15.35276323
Barnsley,E08000016,2005,LULUCF,LULUCF Net Emissions: Cropland,8.379707432
Barnsley,E08000016,2005,LULUCF,LULUCF Net Emissions: Grassland,-7.438300234
Barnsley,E08000016,2005,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2005,LULUCF,LULUCF Net Emissions: Settlements,6.172254735
Barnsley,E08000016,2005,Public Sector,Public Sector Electricity,23.97615071
Barnsley,E08000016,2005,Public Sector,Public Sector Gas,29.11048887
Barnsley,E08000016,2005,Public Sector,Public Sector 'Other Fuels',0.785101936
Barnsley,E08000016,2005,Transport,Road Transport (A roads),178.7571102
Barnsley,E08000016,2005,Transport,Road Transport (Motorways),187.74954
Barnsley,E08000016,2005,Transport,Road Transport (Minor roads),149.3361756
Barnsley,E08000016,2005,Transport,Diesel Railways,4.870022631
Barnsley,E08000016,2005,Transport,Transport Other,2.716966242
Barnsley,E08000016,2006,Commercial,Commercial Electricity,136.5063604
Barnsley,E08000016,2006,Commercial,Commercial Gas,40.40006504
Barnsley,E08000016,2006,Commercial,Commercial 'Other Fuels',0.639211929
Barnsley,E08000016,2006,Domestic,Domestic Electricity,208.8624957
Barnsley,E08000016,2006,Domestic,Domestic Gas,321.9011363
Barnsley,E08000016,2006,Domestic,Domestic 'Other Fuels',79.91641419
Barnsley,E08000016,2006,Industry,Industry Electricity,239.0238002
Barnsley,E08000016,2006,Industry,Industry Gas,159.2126484
Barnsley,E08000016,2006,Industry,Large Industrial Installations,88.72549287
Barnsley,E08000016,2006,Industry,Industry 'Other Fuels',87.85762438
Barnsley,E08000016,2006,Industry,Agriculture,7.125875235
Barnsley,E08000016,2006,LULUCF,LULUCF Net Emissions: Forest land,-15.71060529
Barnsley,E08000016,2006,LULUCF,LULUCF Net Emissions: Cropland,8.270045697
Barnsley,E08000016,2006,LULUCF,LULUCF Net Emissions: Grassland,-7.773817883
Barnsley,E08000016,2006,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2006,LULUCF,LULUCF Net Emissions: Settlements,6.003635347
Barnsley,E08000016,2006,Public Sector,Public Sector Electricity,29.68181593
Barnsley,E08000016,2006,Public Sector,Public Sector Gas,26.92872663
Barnsley,E08000016,2006,Public Sector,Public Sector 'Other Fuels',0.512457935
Barnsley,E08000016,2006,Transport,Road Transport (A roads),174.0700741
Barnsley,E08000016,2006,Transport,Road Transport (Motorways),182.32199
Barnsley,E08000016,2006,Transport,Road Transport (Minor roads),149.1461117
Barnsley,E08000016,2006,Transport,Diesel Railways,4.798417807
Barnsley,E08000016,2006,Transport,Transport Other,2.751639412
Barnsley,E08000016,2007,Commercial,Commercial Electricity,98.35735801
Barnsley,E08000016,2007,Commercial,Commercial Gas,39.78082155
Barnsley,E08000016,2007,Commercial,Commercial 'Other Fuels',0.578259398
Barnsley,E08000016,2007,Domestic,Domestic Electricity,205.8985324
Barnsley,E08000016,2007,Domestic,Domestic Gas,305.7432715
Barnsley,E08000016,2007,Domestic,Domestic 'Other Fuels',76.41164592
Barnsley,E08000016,2007,Industry,Industry Electricity,172.224572
Barnsley,E08000016,2007,Industry,Industry Gas,156.7722713
Barnsley,E08000016,2007,Industry,Large Industrial Installations,41.45407982
